z=16cm,x_left,y_left,Lp,Ls,Lp(shrt),M,k,z=18cm,x_left,y_left,Lp,Ls,Lp(shrt),M,k,z=20cm,x_left,y_left,Lp,Ls,Lp(shrt),M,k
"0,0",9.2,17.1,211.443 ,155.310 ,207.885 ,23.50729631,0.129719814,"0,0",9.2,17.1,212.414,155.47,209.749,20.35503746,0.112010062,"0,0",9.2,17.1,212.212,155.911,210.268,17.40950844,0.095711288
"1,0",13.01428571,17.1,211.723 ,155.239 ,208.281 ,23.11563622,0.127503297,"1,0",13.01428571,17.1,212.517,155.47,210.02,19.70300967,0.108395794,"1,0",13.01428571,17.1,212.3,155.911,210.536,16.58393813,0.091153698
"2,0",16.82857143,17.1,211.891 ,155.424 ,209.805 ,18.00595635,0.099220382,"2,0",16.82857143,17.1,212.658,155.47,210.627,17.76962493,0.097726895,"2,0",16.82857143,17.1,212.385,155.911,210.972,14.84258209,0.081565999
"3,0",20.64285714,17.1,212.490 ,155.650 ,210.614 ,17.08798993,0.0939609,"3,0",20.64285714,17.1,213.118,155.47,211.745,14.61028097,0.080264814,"3,0",20.64285714,17.1,212.719,155.911,211.77,12.16386201,0.066792848
"4,0",24.45714286,17.1,212.643 ,155.913 ,211.846 ,11.14731631,0.061221451,"4,0",24.45714286,17.1,213.568,155.47,212.861,10.4841447,0.057536258,"4,0",24.45714286,17.1,213.044,155.911,212.518,9.055892336,0.049688767
"5,0",28.27142857,17.1,212.843 ,156.014 ,212.566 ,6.573878459,0.036075321,"5,0",28.27142857,17.1,213.738,155.47,213.433,6.886098315,0.037775398,"5,0",28.27142857,17.1,213.177,155.911,212.936,6.129808398,0.033623146
"6,0",32.08571429,17.1,212.778 ,156.091 ,212.733 ,2.650300926,0.014542628,"6,0",32.08571429,17.1,213.688,155.47,213.605,3.592215194,0.019708292,"6,0",32.08571429,17.1,213.075,155.911,213,3.419550409,0.018761363
"7,0",35.9,17.1,212.748 ,156.166 ,212.745 ,0.684469137,0.003755155,"7,0",35.9,17.1,213.366,155.47,213.309,2.976875879,0.01634462,"7,0",35.9,17.1,212.863,155.911,212.849,1.477414634,0.008109871
"8,0",39.71428571,17.1,212.423 ,155.906 ,212.399 ,1.934358808,0.010629305,"8,0",39.71428571,17.1,213.038,155.47,213.035,0.682942164,0.003752598,"8,0",39.71428571,17.1,212.563,155.911,212.56,0.683910082,0.003756789
"9,0",43.52857143,17.1,212.082 ,155.688 ,212.062 ,1.764584937,0.009710981,"9,0",43.52857143,17.1,212.799,155.47,212.795,0.788593685,0.00433556,"9,0",43.52857143,17.1,212.154,155.911,212.152,0.558410243,0.003070361
"0,1",9.2,22.04285714,211.760 ,155.180 ,208.303 ,23.16154701,0.127769656,"0,1",9.2,22.04285714,212.492,155.595,209.888,20.12881964,0.110700402,"0,1",9.2,22.04285714,212.325,155.945,210.429,17.19510744,0.094497126
"1,1",13.01428571,22.04285714,212.056 ,155.224 ,209.061 ,21.56144429,0.11884287,"1,1",13.01428571,22.04285714,212.594,155.595,210.17,19.42066631,0.106780219,"1,1",13.01428571,22.04285714,212.373,155.945,210.645,16.41563157,0.090203257
"2,1",16.82857143,22.04285714,212.067 ,155.372 ,209.596 ,19.59398408,0.107944328,"2,1",16.82857143,22.04285714,212.802,155.595,210.874,17.32013741,0.095184375,"2,1",16.82857143,22.04285714,212.529,155.945,211.178,14.5148784,0.079729415
"3,1",20.64285714,22.04285714,212.537 ,155.723 ,210.954 ,15.70062129,0.086302462,"3,1",20.64285714,22.04285714,213.149,155.595,211.85,14.21681768,0.078066179,"3,1",20.64285714,22.04285714,212.786,155.945,211.878,11.89949831,0.065323794
"4,1",24.45714286,22.04285714,212.964 ,155.978 ,212.358 ,9.722276894,0.05334371,"4,1",24.45714286,22.04285714,213.499,155.595,212.796,10.45864642,0.057382536,"4,1",24.45714286,22.04285714,213.045,155.945,212.568,8.624718256,0.047317688
"5,1",28.27142857,22.04285714,213.031 ,156.230 ,212.705 ,7.136594426,0.039118969,"5,1",28.27142857,22.04285714,213.575,155.595,213.266,6.933891764,0.038036805,"5,1",28.27142857,22.04285714,213.135,155.945,212.91,5.923480818,0.032491059
"6,1",32.08571429,22.04285714,212.818 ,156.287 ,212.781 ,2.404707675,0.013185502,"6,1",32.08571429,22.04285714,213.486,155.595,213.391,3.844674889,0.021094882,"6,1",32.08571429,22.04285714,213.063,155.945,213,3.134411428,0.017195557
"7,1",35.9,22.04285714,212.772 ,156.063 ,212.776 ,0,0,"7,1",35.9,22.04285714,213.117,155.595,213.1,1.626380952,0.008931315,"7,1",35.9,22.04285714,212.814,155.945,212.803,1.309730888,0.00718946
"8,1",39.71428571,22.04285714,212.315 ,155.939 ,212.294 ,1.809618468,0.009945333,"8,1",39.71428571,22.04285714,212.69,155.595,212.686,0.788910641,0.004336671,"8,1",39.71428571,22.04285714,212.501,155.945,212.493,1.116942255,0.006135705
"9,1",43.52857143,22.04285714,212.073 ,155.705 ,211.940 ,4.550688409,0.025042814,"9,1",43.52857143,22.04285714,212.269,155.595,212.262,1.043630682,0.005742563,"9,1",43.52857143,22.04285714,212.191,155.945,212.186,0.883020385,0.004854243
"0,2",9.2,26.98571429,214.205 ,155.768 ,211.087 ,22.03825365,0.120648869,"0,2",9.2,26.98571429,213.086,155.656,210.818,18.78903425,0.103167776,"0,2",9.2,26.98571429,212.993,156.207,211.372,15.91262225,0.087238631
"1,2",13.01428571,26.98571429,214.270 ,155.805 ,211.387 ,21.19400422,0.115995632,"1,2",13.01428571,26.98571429,213.185,155.656,211.102,18.00642796,0.098847642,"1,2",13.01428571,26.98571429,212.73,156.207,211.267,15.11723655,0.082929261
"2,2",16.82857143,26.98571429,214.469 ,155.854 ,212.238 ,18.64699102,0.101992332,"2,2",16.82857143,26.98571429,213.326,155.656,211.684,15.98709329,0.087733344,"2,2",16.82857143,26.98571429,212.846,156.207,211.7,13.37958228,0.073376934
"3,2",20.64285714,26.98571429,214.913 ,156.074 ,213.474 ,14.98634332,0.081827457,"3,2",20.64285714,26.98571429,213.603,155.656,212.521,12.97766512,0.071172129,"3,2",20.64285714,26.98571429,213.1,156.207,212.377,10.62721323,0.058247518
"4,2",24.45714286,26.98571429,215.265 ,156.304 ,214.547 ,10.5936902,0.057753128,"4,2",24.45714286,26.98571429,213.901,155.656,213.334,9.394517124,0.051485522,"4,2",24.45714286,26.98571429,213.318,156.207,212.928,7.805173284,0.042758115
"5,2",28.27142857,26.98571429,215.274 ,156.442 ,215.014 ,6.377689237,0.034752887,"5,2",28.27142857,26.98571429,213.973,155.656,213.747,5.931126031,0.032499354,"5,2",28.27142857,26.98571429,213.4,156.207,213.22,5.302571074,0.029042838
"6,2",32.08571429,26.98571429,215.001 ,156.484 ,214.946 ,2.933704143,0.015994148,"6,2",32.08571429,26.98571429,213.824,155.656,213.773,2.817526575,0.015443896,"6,2",32.08571429,26.98571429,213.23,156.207,213.187,2.591698478,0.014200711
"7,2",35.9,26.98571429,214.510 ,156.324 ,214.503 ,1.046072655,0.005712487,"7,2",35.9,26.98571429,213.522,155.656,213.516,0.966403642,0.005300957,"7,2",35.9,26.98571429,212.992,156.207,212.985,1.045681118,0.005732808
"8,2",39.71428571,26.98571429,214.017 ,156.092 ,214.000 ,1.628976366,0.008912516,"8,2",39.71428571,26.98571429,213.161,155.656,213.155,0.966403642,0.005305444,"8,2",39.71428571,26.98571429,212.714,156.207,212.709,0.883761846,0.004848272
"9,2",43.52857143,26.98571429,212.211 ,156.593 ,212.188 ,1.897798461,0.010410701,"9,2",43.52857143,26.98571429,212.816,155.656,212.798,1.673860209,0.009196744,"9,2",43.52857143,26.98571429,212.48,156.207,212.472,1.117880137,0.006136009
"0,3",9.2,31.92857143,214.540 ,156.032 ,212.304 ,18.67853185,0.102089661,"0,3",9.2,31.92857143,213.407,156.07,211.808,15.79733933,0.086560529,"0,3",9.2,31.92857143,212.63,156.311,211.452,13.56961156,0.074432118
"1,3",13.01428571,31.92857143,214.470 ,156.059 ,212.425 ,17.86450825,0.097648006,"1,3",13.01428571,31.92857143,213.308,156.07,211.855,15.05887479,0.082533305,"1,3",13.01428571,31.92857143,212.654,156.311,211.602,12.8233838,0.070334935
"2,3",16.82857143,31.92857143,214.674 ,156.150 ,213.110 ,15.627495,0.085354938,"2,3",16.82857143,31.92857143,213.563,156.07,212.437,13.25650105,0.07261163,"2,3",16.82857143,31.92857143,212.819,156.311,211.997,11.33523895,0.062148508
"3,3",20.64285714,31.92857143,215.110 ,156.329 ,214.138 ,12.3268726,0.067220669,"3,3",20.64285714,31.92857143,213.797,156.07,213.084,10.54883453,0.057748933,"3,3",20.64285714,31.92857143,213.015,156.311,212.491,9.050246626,0.049597587
"4,3",24.45714286,31.92857143,215.257 ,156.333 ,214.797 ,8.480163914,0.046227486,"4,3",24.45714286,31.92857143,214.027,156.07,213.66,7.568202561,0.041409382,"4,3",24.45714286,31.92857143,213.165,156.311,212.91,6.313422606,0.03458694
"5,3",28.27142857,31.92857143,215.219 ,156.443 ,215.078 ,4.696643802,0.025595832,"5,3",28.27142857,31.92857143,214.056,156.07,213.94,4.254893653,0.023279052,"5,3",28.27142857,31.92857143,213.162,156.311,213.064,3.913882727,0.021441647
"6,3",32.08571429,31.92857143,214.831 ,156.520 ,214.817 ,1.480297267,0.008072639,"6,3",32.08571429,31.92857143,213.872,156.07,213.85,1.852981381,0.010142251,"6,3",32.08571429,31.92857143,212.992,156.311,212.971,1.811775648,0.009929514
"7,3",35.9,31.92857143,214.485 ,156.306 ,214.478 ,1.046012428,0.00571282,"7,3",35.9,31.92857143,213.622,156.07,213.62,0.558694908,0.003059793,"7,3",35.9,31.92857143,212.793,156.311,212.79,0.684786828,0.003754758
"8,3",39.71428571,31.92857143,214.106 ,156.091 ,214.080 ,2.014538657,0.011019763,"8,3",39.71428571,31.92857143,213.326,156.07,213.321,0.883374213,0.004841312,"8,3",39.71428571,31.92857143,212.592,156.311,212.587,0.884055994,0.004849663
"9,3",43.52857143,31.92857143,213.8,155.842 ,213.757,2.58866877,0.014181768,"9,3",43.52857143,31.92857143,213.101,156.07,213.084,1.628861566,0.00893165,"9,3",43.52857143,31.92857143,212.412,156.311,212.403,1.186085579,0.006509262
"0,4",9.2,36.87142857,215.010 ,156.349 ,213.825 ,13.61152324,0.074238612,"0,4",9.2,36.87142857,213.257,156.242,212.388,11.65222288,0.063834909,"0,4",9.2,36.87142857,212.712,156.246,212.053,10.14722198,0.05566045
